action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth,pressure_transducer_depth,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,extraction_duration,extraction_method,initial_extraction_volume,volume_filtered_ml,final_extraction_volume,tac_peak,_19_but,_19_hex,alpha_carotene,alloxanthin,antheraxanthin,beta_carotene,c2mgdg,chl_a,chl_b,chl_c1,chl_c1_c2,chl_c2,chl_c3,chl_ide_a,chla_allomer,chla_prime,diadinoxanthin,diatoxanthin,dv_chl_a,fuco,gyroxanthin_diester,lutein,me_chlide,mgdvp,neoxanthin,peri,phbide,phphyt,prasinoxanthin,violaxanthin,zeaxanthin,total_chl_a,all_chl_a,all_chl_a_flag,analyzing_lab,comments,quality_log,row_flag,quality_level
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,M,,QF449,10,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,129.7,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Technician
,416,1,2015-03-18,QUADRA,HAKAI,"QOMA,QOMA1,QOMA2",1,QU39,M,,QF450,30,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,130.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m",Collected,Technician
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QF438,0,,2015-03-24 09:04:16,2015-03-24 11:19:25,2018-01-24 00:00:00,,1000,"Rebecca,Other",1,131.6,,47,,24 hr,soak+sonic,5,1000,5.406148945,246422,0,0,,0,,0,0,1.50760169,0,0.064830846,,0.197297343,0.104115891,0.079736393,,,0.05120997,0,0,0.859302846,,0,0,0.017919081,0,0.04627251,0,0,0,0,0,1.587338083,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QF441,5,,2015-03-24 09:04:16,2015-03-24 11:19:25,2018-05-28 00:00:00,,1000,"Rebecca,Other",1,130.6,,47,,,,,1000,,,0.003216373,0.001215779,0,0.007506684,6.67172E-18,0.025193304,,0.713611733,0.003543132,,0.234164536,,0.06914984,0,0.103227121,0.022917752,0.025706585,0.00757622,,0.432331906,0,0,,,0.000831301,0.037476701,,,0,0.012121527,0,0.877415126,1.003559999,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QF469,10,,2015-03-24 09:04:16,2015-03-24 11:19:25,,,1000,"Rebecca,Other",1,129.8,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,504,1,2015-03-24,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QF470,30,,2015-03-24 09:04:16,2015-03-24 11:19:25,,,1000,"Rebecca,Other",1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX2,5,,2015-03-31 08:57:34,2015-03-31 12:01:00,2018-05-28 00:00:00,,1000,"Katie,Other",1,,,,,,,,1000,,,0.001394619,0.00305872,0.010716198,0.014533349,6.28443E-18,0,,0.197893873,0,,0.019363128,,0.006683815,0,0.010763168,0.008459291,0.011099252,0.002112237,,0.083265343,0,0,,,0,0,,,0,0.004052673,0,0.213726616,0.232949076,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD3: Ctd only dropped to 165m",Results,Technicianmr
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX3,10,,2015-03-31 08:57:34,2015-03-31 12:01:00,,,1000,"Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Ctd only dropped to 165m",Collected,Technician
,531,1,2015-03-31,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX4,30,,2015-03-31 08:57:34,2015-03-31 12:01:00,,,1000,"Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Checked by KP2: Ctd only dropped to 165m",Collected,Technician
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX10,0,,2015-04-06 08:44:21,2015-04-06 13:45:38,2018-01-24 00:00:00,,1000,"Leo,Rebecca,Other",1,,,,,24 hr,soak+sonic,5,1000,5.417011062,246422,0.033200659,0.053247386,,0.04053943,,0.025836961,0.036082945,1.964119697,0,0,,0.199121172,0.14972177,0,,,0.110075155,0.033200753,0,1.050987769,,0,0,0.021286875,0,0,0,0,0,0,0,1.964119697,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX11,5,,2015-04-06 08:44:21,2015-04-06 13:45:38,2018-05-28 00:00:00,,1000,"Katie,Other",1,,,,,,,,1000,,,0.015479541,0.024286442,0.025428578,0.02469531,6.09288E-18,0.034521684,,0.801334921,0.018075794,,0.137552215,,0.117314556,0,0.028144937,0.050372174,0.048842801,0.019099882,,0.548037571,0,0,,,0.000648722,0.01857951,,,0,0.008512159,0.003517789,1.079231767,1.157748877,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD3: Ctd only dropped to 165m",Results,Technicianmr
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX9,10,,2015-04-06 08:44:21,2015-04-06 13:45:38,,,1000,"Leo,Rebecca,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,614,1,2015-04-06,QUADRA,HAKAI,"QOMA1,QOMA,QOMA2",1,QU39,M,,QX8,30,,2015-04-06 08:44:21,2015-04-06 13:45:38,,,965,"Leo,Rebecca,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,762,1,2015-04-14,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QX12,0,,2015-04-14 08:33:48,2015-04-14 09:15:19,2018-01-24 00:00:00,,1000,"Kate,Katie,Other",1,,,,,24 hr,soak+sonic,10,1000,10.68010228,246422,0,0,,0.11499685,,0.131618409,0,4.69027784,0.070022525,0.457157931,,1.239960346,0.123280643,1.63047294,,,0.179816668,0.081175694,0,3.130053547,,0,1.003909774,0.149797528,0,0,2.420789913,0,0,0,0,7.324660554,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,762,1,2015-04-14,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QX18,5,,2015-04-14 08:33:48,2015-04-14 09:15:19,2018-05-28 00:00:00,,1000,"Kate,Katie,Other",1,,,,,,,,1000,,,0,0.01882206,0.015444124,0.024336743,6.73525E-18,0.096992745,,1.503577123,0.011264641,,0.473596954,,0,0.385658719,0.070704188,0.05919157,0.045246955,0.013268987,,0.83894358,0,0,,,0.008885338,0.05425046,,,0,0.025272667,0.003128387,1.889235843,2.019131601,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,762,1,2015-04-14,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QX16,10,,2015-04-14 08:33:48,2015-04-14 09:15:19,,,1000,"Kate,Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,762,1,2015-04-14,QUADRA,HAKAI,"QOMA2,QOMA,QOMA1",1,QU39,M,,QX13,30,,2015-04-14 08:33:48,2015-04-14 09:15:19,,,1000,"Kate,Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,M,,QX76,0,,2015-04-22 08:24:33,2015-04-22 11:10:52,2018-01-24 00:00:00,,1000,"Kate,Katie",1,,,,,24 hr,soak+sonic,5,1000,5.674004145,246422,0,0,,0.061550133,,0.076326137,0,8.032821264,0,0.405365979,,0.953275977,0.065918355,0.129743152,,,0.288317747,0.056198056,0,4.019676287,,0,0.144809079,0.075266771,0,0,0,0,0,0,0,8.307373495,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,M,,QX75,5,,2015-04-22 08:24:33,2015-04-22 11:10:52,2018-05-28 00:00:00,,1000,"Kate,Katie",1,,,,,,,,1000,,,0.044741922,0,0.035356995,0.039791315,7.3128E-18,0.197592944,,4.009848891,0.04477304,,1.176037643,,0,0.593750584,0.544513574,0.144712809,0.145626772,0.015231235,,2.362359584,0,0,,,0.005273079,0,,,0.009043139,0.030258955,0.011420088,4.603599475,5.292825858,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,M,,QX77,10,,2015-04-22 08:24:33,2015-04-22 11:10:52,2018-05-28 00:00:00,,1000,"Kate,Katie",1,,,,,,,,1000,,,0.012571292,0,0,0.007572111,4.669E-18,0.049290627,,1.050999183,0.010490853,,0.221057588,,0,0.147725755,0.162738262,0.034154621,0.036699754,0.002816474,,0.55830614,0,0,,,0.008973725,0,,,0.00511864,0.010979478,0.006174451,1.198724938,1.395617821,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,890,1,2015-04-22,QUADRA,HAKAI,"QOMA2,QOMA1,QOMA",1,QU39,M,,QX78,30,,2015-04-22 08:24:33,2015-04-22 11:10:52,2018-05-28 00:00:00,,1000,"Kate,Katie",1,,,,,,,,1000,,,0.000863383,0.001983814,0,0.003083222,3.54634E-18,0,,0.125080433,0,,0.010743201,,0.003281021,0,0.012518513,0.005246749,0.005388267,0.001455404,,0.067991064,0,0,,,0,0,,,0,0.007673918,0,0.132852574,0.150617836,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD3: Collected from different niskin than other PP samples",Results,Technicianmr
,923,1,2015-04-26,CALVERT,HAKAI,"KWAK_PP,KWAK,PP",1,PRUTH,M,HPLC1,CX6007,0,,2015-04-26 10:00:35,2015-04-26 13:01:59,,,1000,"Bryn,Lawren,Nelson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Lost 3 bottles2: Metadata QCd by BF",Collected,Technician
,923,1,2015-04-26,CALVERT,HAKAI,"KWAK_PP,KWAK,PP",1,PRUTH,M,HPLC2,CX6008,5,,2015-04-26 10:00:35,2015-04-26 13:01:59,,,1000,"Bryn,Lawren,Nelson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Lost 3 bottles2: Metadata QCd by BF",Collected,Technician
,923,1,2015-04-26,CALVERT,HAKAI,"KWAK_PP,KWAK,PP",1,PRUTH,M,HPLC3,CX6009,10,,2015-04-26 10:00:35,2015-04-26 13:01:59,,,1000,"Bryn,Lawren,Nelson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Lost 3 bottles2: Metadata QCd by BF",Collected,Technician
,923,1,2015-04-26,CALVERT,HAKAI,"KWAK_PP,KWAK,PP",1,PRUTH,M,HPLC4,CX6010,30,,2015-04-26 10:00:35,2015-04-26 13:01:59,,,1000,"Bryn,Lawren,Nelson",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Lost 3 bottles2: Metadata QCd by BF",Collected,Technician
,1092,1,2015-05-01,CALVERT,HAKAI,"PP,KWAK_PP,KWAK",1,PRUTH,M,HPLC5,CX6011,0,,2015-05-01 10:17:25,2015-05-01 15:42:36,,,1000,"Bryn,Lawren",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Metadata QCd by BF,Collected,Technician
,1092,1,2015-05-01,CALVERT,HAKAI,"PP,KWAK_PP,KWAK",1,PRUTH,M,HPLC6,CX6013,5,,2015-05-01 10:17:25,2015-05-01 15:42:36,,,800,"Bryn,Lawren",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Metadata QCd by BF,Collected,Technician
,1092,1,2015-05-01,CALVERT,HAKAI,"PP,KWAK_PP,KWAK",1,PRUTH,M,HPLC7,CX6014,10,,2015-05-01 10:17:25,2015-05-01 15:42:36,,,1000,"Bryn,Lawren",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Metadata QCd by BF,Collected,Technician
,1092,1,2015-05-01,CALVERT,HAKAI,"PP,KWAK_PP,KWAK",1,PRUTH,M,HPLC8,CX6012,30,,2015-05-01 10:17:25,2015-05-01 15:42:36,,,1000,"Bryn,Lawren",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Metadata QCd by BF,Collected,Technician
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX5,0,,2015-05-01 07:32:56,2015-05-01 07:32:59,2018-01-24 00:00:00,,1000,"Kate,Katie,Other",1,,,,,24 hr,soak+sonic,5,1000,5.602792051,246422,0.030669154,0,,0.032604124,,0.053124123,0,5.778763976,0,0.367948348,,0.829911144,0.084168742,0.341527944,,,0.181111153,0.043513103,0,3.481638421,,0,0.117118874,0.053983477,0,0.053534041,0,0,0,0,0.025373725,6.237410794,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX20,5,,2015-05-01 07:32:56,2015-05-01 07:32:59,2018-05-28 00:00:00,,1000,"Kate,Katie,Other",1,,,,,,,,1000,,,0.023638314,0,0.01863752,0.028004494,5.58486E-18,0.160394786,,3.094335426,0.03013448,,0.660107714,,0,0.687169191,0.68970093,0.123262252,0.112570872,0.012336231,,1.861688212,0,0,,,0.005151176,0.139437417,,,0,0.028557042,0.010122705,3.781504617,4.594467799,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX19,10,,2015-05-01 07:32:56,2015-05-01 07:32:59,,,1000,"Kate,Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,1077,1,2015-05-01,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX15,30,,2015-05-01 07:32:56,2015-05-01 07:32:59,,,1000,"Kate,Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX22,0,,2015-05-05 07:51:55,2015-05-05 10:20:46,2018-01-24 00:00:00,,1000,Other,1,,,,,24 hr,soak+sonic,5,1000,5.572157978,246422,0,0,,0.047475557,,0.033469299,0,3.433605071,0,0.178500145,,0.423837733,0,0.169013252,,,0.137448748,0.052386705,0,1.733443301,,0,0.083545399,0.031605639,0,0,0,0,0.021600929,0,0,3.686163723,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP",Results,Technicianmr
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX28,5,,2015-05-05 07:51:55,2015-05-05 10:20:46,2018-05-28 00:00:00,,1000,Other,1,,,,,,,,1000,,,0.017324243,0,0,0.030005659,4.50967E-18,0.07103761,,1.339113258,0.011384331,,0.268016251,,0,0.303742285,0.277147235,0.055253168,0.06419376,0.013963473,,0.777176925,0.003241784,0,,,0.024449574,0.078048873,,,0,0.010888383,0.013034833,1.642855542,1.975255945,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX21,10,,2015-05-05 07:51:55,2015-05-05 10:20:46,,,1000,Other,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,1134,1,2015-05-05,QUADRA,HAKAI,"QOMA1,QOMA2",1,QU39,M,,QX30,30,,2015-05-05 07:51:55,2015-05-05 10:20:46,,,1000,Other,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
,1192,1,2015-05-13,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,M,,QX81,0,,2015-05-13 07:24:01,2015-05-13 14:19:07,2018-05-28 00:00:00,,1000,"Kate,Other",1,,,,,,,,1000,,,0.001255752,0.016330854,0,0.004647334,4.32323E-18,0.012322823,,0.329082474,0.017813973,,0.046062172,,0,0.032283138,0.045275477,0.027272885,0.016875978,0.003862722,,0.125699617,0.002119513,0,,,0.002497646,0.00725707,,,0.002090803,0.002110573,0.00401828,0.361365612,0.433913975,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,1192,1,2015-05-13,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,M,,QX82,5,,2015-05-13 07:24:01,2015-05-13 14:19:07,2018-05-28 00:00:00,,1000,"Kate,Other",1,,,,,,,,1000,,,0.009311472,0.023804663,0,0.010315276,4.22929E-18,0.02393292,,0.499158243,0.014031625,,0.100592331,,0.049985688,0,0.083184348,0.031200452,0.028158571,0.006169532,,0.25281865,0.002767393,0,,,0.009831089,0.028066584,,,0.003461636,0.004777229,0.004260986,0.617565248,0.731950048,,USC,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD",Results,Technicianmr
,1192,1,2015-05-13,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,M,,QX84,10,,2015-05-13 07:24:01,2015-05-13 14:19:07,2018-01-24 00:00:00,,1000,"Kate,Other",1,,,,,24 hr,soak+sonic,5,1000,5.507572236,246422,0.03056958,0.017039197,,0.053190757,,0.044473489,0,5.151713664,0.053287438,0.185425302,,0.731901597,0.229101948,0.169473318,,,0.141199742,0.016362215,0,2.770837002,,0,0,0.053465964,0,0.066102848,0.521881074,0,0,0,0,5.321186982,,,DFO-IOS,,"1: Analyzed by Nina Nemcek at DFO-IOS2: Checked by KP3: QX81 and QX84 were both 0m samples. No 10m sample. After comparing with CTD fluorescence and extracted Chl, QX84 appears to be the 10m sample. Depth label was switched. Use with caution. Updated 2018-08-23. JD",Results,Technicianmr
,1192,1,2015-05-13,QUADRA,HAKAI,"QOMA2,QOMA1",1,QU39,M,,QX83,30,,2015-05-13 07:24:01,2015-05-13 14:19:07,,,1000,"Kate,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Checked by KP,Collected,Technician
