action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,project_specific_id,hakai_id,collected,preserved,microbial_sample_type,volume,lab_technician,dna_extraction_date,dna_volume,dna_volume_te_wash,qubit_dna_concentration,stock_dna_concentration,extracting_staff,extracting_lab,p_16s_v4v5_amplified,p_16s_v4_amplified,p_18s_v4_amplified,p_coi_amplified,row_flag,quality_level,comments,quality_log
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,30,29.2167854,,QCC1859,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,30,29.2167854,,QCC1860,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,3,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,30,29.2167854,,QMIC2403,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,RNA,2000,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,4,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,30,29.2167854,,QMIC2408,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,DNA,2000,brianna.knowles;isabelle.desmarais,2018-06-26,219.6,263.1,45.7,4.57,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,50,,,QCC1861,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,50,,,QCC1862,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,1,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,100,100.0077601,,QCC1863,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,2,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,100,100.0077601,,QCC1864,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,3,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,100,100.0077601,,QMIC2404,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,RNA,2000,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363209,4,2018-01-03,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03079992,-125.09968593,,100,100.0077601,,QMIC2409,2018-01-03T19:07:22.000Z,2018-01-03T20:59:20.000Z,DNA,2000,brianna.knowles;isabelle.desmarais,2018-06-26,200,250,39.5,3.95,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,363208,1,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,M,50.0307000000001,-125.0992,50.03058629,-125.09983523,,260,,,QCC1853,2018-01-03T18:42:49.000Z,2018-01-03T20:59:15.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363208,2,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,M,50.0307000000001,-125.0992,50.03058629,-125.09983523,,260,,,QCC1854,2018-01-03T18:42:49.000Z,2018-01-03T20:59:15.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363208,3,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,M,50.0307000000001,-125.0992,50.03058629,-125.09983523,,260,,,QMIC2405,2018-01-03T18:42:49.000Z,2018-01-03T20:59:15.000Z,RNA,2000,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,363208,4,2018-01-03,QUADRA,HAKAI,QOMA5,2,QU39,M,50.0307000000001,-125.0992,50.03058629,-125.09983523,,260,,,QMIC2410,2018-01-03T18:42:49.000Z,2018-01-03T20:59:15.000Z,DNA,2000,brianna.knowles;isabelle.desmarais,2018-06-26,172.4,222.4,41.7,4.17,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,0,,,QCC1881,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadatachecked by RP.
,364785,2,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,0,,,QCC1882,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadatachecked by RP.
,364785,3,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,0,,,QMIC2411,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,RNA,2000,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,4,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,0,,,QMIC2416,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,DNA,2000,brianna.knowles,2018-05-09,223,273,60.6,6.06,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,5,4.0984808,,QCC1883,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,2,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,5,4.0984808,,QCC1884,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,3,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,5,4.0984808,,QMIC2412,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,RNA,2000,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,4,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,5,4.0984808,,QMIC2417,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,DNA,2000,brianna.knowles,2018-05-09,208.7,246.6,71.7,7.17,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,10,8.5095604,,QCC1885,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,2,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,10,8.5095604,,QCC1886,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,30,,,QCC1887,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,2,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,30,,,QCC1888,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,3,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,30,,,QMIC2413,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,RNA,2000,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Filtering tube not rinsed with sample watr prior to sample collection.2: Metadata checked by ID.
,364785,4,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,30,,,QMIC2418,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,DNA,2000,brianna.knowles,2018-05-09,209.7,248.7,63.2,6.32,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,50,53.6769725,,QCC1889,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364785,2,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,50,53.6769725,,QCC1890,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364787,1,2018-01-09,QUADRA,HAKAI,QOMA4,4,QU39,M,50.0307000000001,-125.0992,50.0297672,-125.09931074,,100,,,QCC1891,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Changed sampling bout from 3 to 4 based on field notes2: extra drop as we ran out of water. pp not collected. no pipette.3: Metadata checked by ID.
,364787,2,2018-01-09,QUADRA,HAKAI,QOMA4,4,QU39,M,50.0307000000001,-125.0992,50.0297672,-125.09931074,,100,,,QCC1892,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Changed sampling bout from 3 to 4 based on field notes2: extra drop as we ran out of water. pp not collected. no pipette.3: Metadata checked by ID.
,364785,1,2018-01-09,QUADRA,HAKAI,QOMA4,3,QU39,M,50.0307000000001,-125.0992,50.02996944,-125.09840185,,100,104.4668845,,QMIC2414,2018-01-09T19:26:32.000Z,2018-01-09T20:41:25.000Z,RNA,2000,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364787,3,2018-01-09,QUADRA,HAKAI,QOMA4,4,QU39,M,50.0307000000001,-125.0992,50.0297672,-125.09931074,,100,,,QMIC2419,2018-01-09T20:14:22.000Z,2018-01-09T20:35:56.000Z,DNA,2000,brianna.knowles,2018-05-09,210.1,246.6,58.9,5.89,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: extra drop as we ran out of water. pp not collected. no pipette.2: extra drop as we ran out of water. pp not collected. no pipette.. Collected on a separate drop3: Metadata checked by ID.
,364072,1,2018-01-09,QUADRA,HAKAI,QOMA4,2,QU39,M,50.0307000000001,-125.0992,50.03093227,-125.09862208,,260,254.8579142,,QCC1893,2018-01-09T18:44:21.000Z,2018-01-09T20:36:32.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364072,2,2018-01-09,QUADRA,HAKAI,QOMA4,2,QU39,M,50.0307000000001,-125.0992,50.03093227,-125.09862208,,260,254.8579142,,QCC1894,2018-01-09T18:44:21.000Z,2018-01-09T20:36:32.000Z,Cell Count,2,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364072,3,2018-01-09,QUADRA,HAKAI,QOMA4,2,QU39,M,50.0307000000001,-125.0992,50.03093227,-125.09862208,,260,254.8579142,,QMIC2415,2018-01-09T18:44:21.000Z,2018-01-09T20:36:32.000Z,RNA,2000,brianna.knowles,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,364072,4,2018-01-09,QUADRA,HAKAI,QOMA4,2,QU39,M,50.0307000000001,-125.0992,50.03093227,-125.09862208,,260,254.8579142,,QMIC2420,2018-01-09T18:44:21.000Z,2018-01-09T20:36:32.000Z,DNA,2000,brianna.knowles,2018-05-09,259.4,299.1,35.9,3.59,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,0,,,QCC1867,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,0,,,QCC1868,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,3,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,0,,,QMIC2421,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,RNA,2000,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,4,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,0,,,QMIC2426,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,DNA,2000,rachel.walker,2018-06-27,216.2,266.2,85.3,8.53,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,5,4.3721121,,QCC1869,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,5,4.3721121,,QCC1870,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,3,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,5,4.3721121,,QMIC2422,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,RNA,2000,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,4,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,5,4.3721121,,QMIC2427,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,DNA,2000,rachel.walker,2018-05-09,245.2,295.2,62,6.2,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,10,9.2439443,,QCC1871,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,10,9.2439443,,QCC1872,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,30,28.4861213,,QCC1873,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,30,28.4861213,,QCC1874,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,3,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,30,28.4861213,,QMIC2423,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,RNA,2000,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,4,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,30,28.4861213,,QMIC2428,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,DNA,2000,rachel.walker,2018-06-27,200,241.9,75.5,7.55,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,50,48.2957705,,QCC1875,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,50,48.2957705,,QCC1876,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,1,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,100,99.4665819,,QCC1877,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,2,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,100,99.4665819,,QCC1878,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID. Sample manually added.
,365745,3,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,100,99.4665819,,QMIC2424,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,RNA,2000,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365745,4,2018-01-22,QUADRA,HAKAI,QOMA1,3,QU39,M,50.0307000000001,-125.0992,50.03019548,-125.1003375,,100,99.4665819,,QMIC2429,2018-01-22T18:29:51.000Z,2018-01-22T21:01:47.000Z,DNA,2000,rachel.walker,2018-06-27,200,250,57.7,5.77,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,365744,1,2018-01-22,QUADRA,HAKAI,QOMA1,2,QU39,M,50.0307000000001,-125.0992,50.03103304,-125.10092386,,260,256.9826812,,QCC1879,2018-01-22T17:54:43.000Z,2018-01-22T20:26:40.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365744,2,2018-01-22,QUADRA,HAKAI,QOMA1,2,QU39,M,50.0307000000001,-125.0992,50.03103304,-125.10092386,,260,256.9826812,,QCC1880,2018-01-22T17:54:43.000Z,2018-01-22T20:26:40.000Z,Cell Count,2,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365744,3,2018-01-22,QUADRA,HAKAI,QOMA1,2,QU39,M,50.0307000000001,-125.0992,50.03103304,-125.10092386,,260,256.9826812,,QMIC2425,2018-01-22T17:54:43.000Z,2018-01-22T20:26:40.000Z,RNA,2000,rachel.walker,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,365744,4,2018-01-22,QUADRA,HAKAI,QOMA1,2,QU39,M,50.0307000000001,-125.0992,50.03103304,-125.10092386,,260,256.9826812,,QMIC2430,2018-01-22T17:54:43.000Z,2018-01-22T20:26:40.000Z,DNA,2000,rachel.walker,2018-06-26,178.8,222.1,51.4,5.14,Rebecca Piercey,QUADRA MARNA LAB,,,,,Collected,Technicianm,,1: Metadata checked by ID.2: quantified 2018-06-29
,367267,1,2018-01-31,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03010921,-125.09768908,,0,,,QCC1839,2018-01-31T18:00:19.000Z,2018-01-31T18:21:57.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,367267,2,2018-01-31,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03010921,-125.09768908,,0,,,QCC1840,2018-01-31T18:00:19.000Z,2018-01-31T18:21:57.000Z,Cell Count,2,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
,367267,3,2018-01-31,QUADRA,HAKAI,QOMA5,3,QU39,M,50.0307000000001,-125.0992,50.03010921,-125.09768908,,0,,,QMIC2431,2018-01-31T18:00:19.000Z,2018-01-31T18:21:57.000Z,RNA,2000,brianna.knowles;isabelle.desmarais,,,,,,,,,,,,Collected,Technicianm,,1: Metadata checked by ID.
