"","date","phyto_group","TChla_mean","abundance"
"50",2018-04-24,"hapto",0.256927584608396,0
"51",2018-05-02,"hapto",0.0169913908466697,444
"52",2018-05-08,"hapto",0.0493176647772392,444
"53",2018-05-15,"hapto",0.119583717236916,0
"54",2018-05-22,"hapto",0.0578997607032458,0
"55",2018-05-29,"hapto",0.0624797201404969,0
"56",2018-06-05,"hapto",0.114955154558023,0
"57",2018-06-11,"hapto",0.019116290534536,0
"58",2018-06-18,"hapto",0.0874431828657786,0
"59",2018-06-26,"hapto",7.39811954796702e-05,0
"60",2018-07-11,"hapto",0,0
"61",2018-07-16,"hapto",0.0181134858479102,0
"62",2018-07-23,"hapto",0.0735377247134845,0
"63",2018-07-31,"hapto",0.0946789905428886,0
"64",2018-08-09,"hapto",0.0445632847646872,0
"65",2018-08-14,"hapto",0.0931747655073802,0
"66",2018-08-21,"hapto",0.0535673958559831,0
"67",2018-08-29,"hapto",0.020833244236807,0
"68",2018-09-04,"hapto",0.00861243818265696,322787
"69",2018-09-13,"hapto",0.059562257801493,0
"70",2018-09-18,"hapto",0.0563290833185116,0
"71",2018-09-25,"hapto",0.000133106712989199,0
"72",2018-10-04,"hapto",0.000955218216404319,0
"73",2018-10-09,"hapto",0.059470775226752,0
"74",2018-10-16,"hapto",0.00619161392872532,0
"75",2018-10-24,"hapto",0.0246961560721199,0
"76",2018-10-30,"hapto",0.0220303038756053,432
"77",2018-11-16,"hapto",0.0876838105420272,0
"78",2018-12-04,"hapto",0.0176692626749476,0
"79",2018-01-09,"green",0.0999824491639932,0
"80",2018-01-31,"green",0.0930781078835328,35000
"81",2018-02-13,"green",0.138364876310031,2500
"82",2018-02-27,"green",0.113383474449317,8750
"83",2018-03-06,"green",0.0596520137041807,28000
"84",2018-03-13,"green",0.105003991474708,74375
"85",2018-03-20,"green",0.0361459099998077,0
"86",2018-03-27,"green",0.0687500064571698,3500
"87",2018-04-12,"green",0.0513497514960666,0
"88",2018-04-17,"green",0.00992445663238565,0
"89",2018-04-24,"green",0.0136260101571679,14054
"90",2018-05-02,"green",0.169756487011909,25240
"91",2018-05-08,"green",0.0385204590857029,3333
"92",2018-05-15,"green",0.214306729535262,8750
"93",2018-05-22,"green",0.129881688704093,39805
"94",2018-05-29,"green",0.358661323785782,78750
"95",2018-06-05,"green",0.320757021506627,123018
"96",2018-06-11,"green",0.266523780922095,17622
"97",2018-06-18,"green",0.921281059583028,37689
"98",2018-06-26,"green",0.78010681271553,4750
"99",2018-07-11,"green",0.320475230614344,1750
"100",2018-07-16,"green",0.21449022491773,56162
"101",2018-07-23,"green",0.497147430976232,13125
"102",2018-07-31,"green",0.0186443875233332,10644
"103",2018-08-09,"green",0.290145297845205,23336
"104",2018-08-14,"green",1.08774850765864,29166
"105",2018-08-21,"green",0.46670534213384,2500
"106",2018-08-29,"green",0.444718350966771,133000
"107",2018-09-04,"green",0.0320405683790644,0
"108",2018-09-13,"green",0.370247706770897,5303
"109",2018-09-18,"green",0.511725058158239,28000
"110",2018-09-25,"green",0.202984678248564,23333
"111",2018-10-04,"green",0.0341473088289301,4666
"112",2018-10-09,"green",0.198476632436117,11667
"113",2018-10-16,"green",0.0717392687996228,111
"114",2018-10-24,"green",0.0801441582540671,2059
"115",2018-10-30,"green",0.0650322244813045,0
"116",2018-11-16,"green",0.3748879134655,0
"117",2018-12-04,"green",0.146454711755117,0
"118",2018-01-09,"cryp",0.0602007781465848,61250
"119",2018-01-31,"cryp",0.0633695783714453,183750
"120",2018-02-13,"cryp",0.0717888710399469,187500
"121",2018-02-27,"cryp",0.0528020150959492,96250
"122",2018-03-06,"cryp",0.0520668874184291,147000
"123",2018-03-13,"cryp",0.0921270735561848,140000
"124",2018-03-20,"cryp",0.277188609043757,22112
"125",2018-03-27,"cryp",0.0506203025579453,3500
"126",2018-04-12,"cryp",0.117922929426034,0
"127",2018-04-17,"cryp",0.0180999295165141,3000
"128",2018-04-24,"cryp",0.232601247727871,42000
"129",2018-05-02,"cryp",0.225276095171769,399000
"130",2018-05-08,"cryp",0.051232905437549,10500
"131",2018-05-15,"cryp",0.265189717213313,336875
"132",2018-05-22,"cryp",0.189779241879781,39661
"133",2018-05-29,"cryp",0.424510399500529,568750
"134",2018-06-05,"cryp",0.203213001290957,56875
"135",2018-06-11,"cryp",0.160968298713366,113763
"136",2018-06-18,"cryp",0.365907266736031,195972
"137",2018-06-26,"cryp",0.273817290862401,45500
"138",2018-07-11,"cryp",0.0883612384398778,63000
"139",2018-07-16,"cryp",0.136486396193504,1048000
"140",2018-07-23,"cryp",0.188472867012024,498750
"141",2018-07-31,"cryp",0.0489315446466208,24500
"142",2018-08-09,"cryp",0.0671520177274942,215858
"143",2018-08-14,"cryp",0.554211964209875,1335757
"144",2018-08-21,"cryp",0.200046832362811,520000
"145",2018-08-29,"cryp",0.314457580447197,820400
"146",2018-09-04,"cryp",0.0623383646210035,27223
"147",2018-09-13,"cryp",0.279793431361516,784844
"148",2018-09-18,"cryp",0.602991292874018,1477000
"149",2018-09-25,"cryp",0.0992670866350333,167227
"150",2018-10-04,"cryp",0.0385544418046872,30329
"151",2018-10-09,"cryp",0.132592389980952,381122
"152",2018-10-16,"cryp",0.0594350186487039,283500
"153",2018-10-24,"cryp",0.0375991873443127,45298
"154",2018-10-30,"cryp",0.0920517705380917,118448
"155",2018-11-16,"cryp",0.00968832879637679,92750
"156",2018-12-04,"cryp",0.0450482753415902,24500
"157",2018-01-09,"dino",0.0101191887321572,40
"158",2018-01-31,"dino",0.0140347157915433,80
"159",2018-02-13,"dino",0,40
"160",2018-02-27,"dino",0.0181699458820124,680
"161",2018-03-06,"dino",3.68002250373441e-05,280
"162",2018-03-13,"dino",6.78476208122447e-05,2440
"163",2018-03-20,"dino",0.0767860499521097,4776
"164",2018-03-27,"dino",0.139560920496782,1998
"165",2018-04-12,"dino",0.238433391360256,3000
"166",2018-04-17,"dino",0.0355805003394683,3240
"167",2018-04-24,"dino",0.328088427583377,6966
"168",2018-05-02,"dino",0.0987929279605548,6512
"169",2018-05-08,"dino",0.0289133091767629,3219
"170",2018-05-15,"dino",0.000167202118367034,4218
"171",2018-05-22,"dino",0.348414927721024,10512
"172",2018-05-29,"dino",0,1360
"173",2018-06-05,"dino",0.103968138496081,5180
"174",2018-06-11,"dino",0.00838897253076235,800
"175",2018-06-18,"dino",0,5720
"176",2018-06-26,"dino",0,0
"177",2018-07-11,"dino",0,240
"178",2018-07-16,"dino",0.00864851373868684,4212
"179",2018-07-23,"dino",0.00816721632145345,1640
"180",2018-07-31,"dino",4.654226177081e-05,8208
"181",2018-08-09,"dino",0.00827222984905044,1599
"182",2018-08-14,"dino",0,1560
"183",2018-08-21,"dino",0.000107127593764744,1160
"184",2018-08-29,"dino",0,8200
"185",2018-09-04,"dino",0,2880
"186",2018-09-13,"dino",0,520
"187",2018-09-18,"dino",0.0840810214479764,400
"188",2018-09-25,"dino",0,4810
"189",2018-10-04,"dino",0,7252
"190",2018-10-09,"dino",0,320
"191",2018-10-16,"dino",0,1887
"192",2018-10-24,"dino",0.000257077685091645,434
"193",2018-10-30,"dino",0,672
"194",2018-11-16,"dino",0.111348910878102,200
"195",2018-12-04,"dino",0,280
"196",2018-01-09,"raph",0.00266211368337584,0
"197",2018-01-31,"raph",0.00571600483575215,0
"198",2018-02-13,"raph",0.00888728342639903,0
"199",2018-02-27,"raph",0.0056633276399225,0
"200",2018-03-06,"raph",0.0146588104156156,0
"201",2018-03-13,"raph",0.0217800776784619,0
"202",2018-03-20,"raph",0.377754241228104,0
"203",2018-03-27,"raph",0.324970384438833,0
"204",2018-04-12,"raph",0.396798886358738,0
"205",2018-04-17,"raph",0.0390517140428225,0
"206",2018-04-24,"raph",0.302529732386271,0
"207",2018-05-02,"raph",0.00353579440464576,0
"208",2018-05-08,"raph",0.0117997787892818,0
"209",2018-05-15,"raph",0.0759202962120374,0
"210",2018-05-22,"raph",0.00356355495750904,0
"211",2018-05-29,"raph",0.0613791054735581,0
"212",2018-06-05,"raph",0.24422066907088,30625
"213",2018-06-11,"raph",0.133934376140436,26253
"214",2018-06-18,"raph",0.0218090968022201,0
"215",2018-06-26,"raph",0.101826474070549,0
"216",2018-07-11,"raph",0.0213202849651376,0
"217",2018-07-16,"raph",0.030192667307953,14000
"218",2018-07-23,"raph",0.0155533809835712,0
"219",2018-07-31,"raph",0.00204607532941736,0
"220",2018-08-09,"raph",0.0189966827941438,0
"221",2018-08-14,"raph",0.199146511654059,0
"222",2018-08-21,"raph",0.0342580256983638,0
"223",2018-08-29,"raph",0.552299718062083,42000
"224",2018-09-04,"raph",0.0300006639833252,0
"225",2018-09-13,"raph",0.0616889074444771,0
"226",2018-09-18,"raph",0.0794054542978605,0
"227",2018-09-25,"raph",0.0606611119583249,0
"228",2018-10-04,"raph",0.111999670664469,0
"229",2018-10-09,"raph",0.0341392116000255,0
"230",2018-10-16,"raph",0.0547397838284572,0
"231",2018-10-24,"raph",0.0134385690713922,0
"232",2018-10-30,"raph",0.114004938552777,0
"233",2018-11-16,"raph",0,0
"234",2018-12-04,"raph",0.00135495092642183,0
"235",2018-01-09,"dict",0.00717786924603085,840
"236",2018-01-31,"dict",0,240
"237",2018-02-13,"dict",0.0057951509176443,2540
"238",2018-02-27,"dict",0.0117495458883544,960
"239",2018-03-06,"dict",0.0110185824645062,8960
"240",2018-03-13,"dict",0.0118390279822052,9343
"241",2018-03-20,"dict",0.0589577648788691,15909
"242",2018-03-27,"dict",0,8750
"243",2018-04-12,"dict",0.150050475708364,600
"244",2018-04-17,"dict",0.00804095420365532,3770
"245",2018-04-24,"dict",2.05701241890589,532810
"246",2018-05-02,"dict",0.188350513577461,11240
"247",2018-05-08,"dict",0.0042601750853161,3111
"248",2018-05-15,"dict",0.00116183112064997,13236
"249",2018-05-22,"dict",0.00353448655611525,2477
"250",2018-05-29,"dict",0,9070
"251",2018-06-05,"dict",0.0209445850923657,30995
"252",2018-06-11,"dict",0,0
"253",2018-06-18,"dict",0,120
"254",2018-06-26,"dict",0.379138261079788,0
"255",2018-07-11,"dict",0.118221333871285,0
"256",2018-07-16,"dict",0.112508859485388,15350
"257",2018-07-23,"dict",0,400
"258",2018-07-31,"dict",0,4652
"259",2018-08-09,"dict",0.0786944665014744,3327
"260",2018-08-14,"dict",0,520
"261",2018-08-21,"dict",0,2560
"262",2018-08-29,"dict",0,0
"263",2018-09-04,"dict",1.70368585983912,4177
"264",2018-09-13,"dict",0,40
"265",2018-09-18,"dict",0.830064753691355,40
"266",2018-09-25,"dict",0,7926
"267",2018-10-04,"dict",3.10175431271394e-05,5332
"268",2018-10-09,"dict",0.00583940822010239,3969
"269",2018-10-16,"dict",9.25206792696069e-05,4388
"270",2018-10-24,"dict",0.00931677144641677,0
"271",2018-10-30,"dict",0.00672447557250659,3172
"272",2018-11-16,"dict",0.203051201999187,2430
"273",2018-12-04,"dict",0,640
"274",2018-01-09,"diat",0.141875353952249,12500
"275",2018-01-31,"diat",0.167326035598914,11570
"276",2018-02-13,"diat",0.194435437520345,2120
"277",2018-02-27,"diat",0.258525148034096,27853
"278",2018-03-06,"diat",0.617059876521428,5900
"279",2018-03-13,"diat",0.32336537539959,2680
"280",2018-03-20,"diat",6.24960295359294,1291908
"281",2018-03-27,"diat",3.75166062513987,184585
"282",2018-04-12,"diat",5.76265382766724,1096600
"283",2018-04-17,"diat",0.911189744869868,56712
"284",2018-04-24,"diat",2.3972156047821,113616
"285",2018-05-02,"diat",0.612268696228663,89614
"286",2018-05-08,"diat",0.30883135398229,194637
"287",2018-05-15,"diat",0.600047836701075,177053
"288",2018-05-22,"diat",0.53331658244133,173611
"289",2018-05-29,"diat",0.314715355634689,23315
"290",2018-06-05,"diat",0.392172465721766,46768
"291",2018-06-11,"diat",0.440474793314934,160
"292",2018-06-18,"diat",0.363991548617681,5027
"293",2018-06-26,"diat",0.0601714352766673,80
"294",2018-07-11,"diat",0,40
"295",2018-07-16,"diat",0.0456812269985676,15930
"296",2018-07-23,"diat",0.158008893330892,8580
"297",2018-07-31,"diat",0.255184317628543,64800
"298",2018-08-09,"diat",0.0331539564455549,70617
"299",2018-08-14,"diat",0.0060315056083103,440
"300",2018-08-21,"diat",0.13161913305521,1080
"301",2018-08-29,"diat",6.72181940078735,471200
"302",2018-09-04,"diat",0.278604547182719,439918
"303",2018-09-13,"diat",0.651997943719228,1120
"304",2018-09-18,"diat",0,3720
"305",2018-09-25,"diat",7.03355145454407,555720
"306",2018-10-04,"diat",3.31893475850423,252527
"307",2018-10-09,"diat",0.470931470394135,18756
"308",2018-10-16,"diat",3.24952685832977,292810
"309",2018-10-24,"diat",0.810959319273631,57004
"310",2018-10-30,"diat",0.803138246138891,93396
"311",2018-11-16,"diat",0.433173909783363,2680
"312",2018-12-04,"diat",0.269927635788918,1640
