"","Sample","Date","summaryGroups","ReadCount","RelAbundance"
"34","QMIC2418","2018-01-31","diat",615,0.0343230271235629
"35","QMIC2418","2018-01-31","cyan",446,0.0248911708896082
"36","QMIC2418","2018-01-31","dict",430,0.0239982140863936
"37","QMIC2418","2018-01-31","raph",15,0.000837147003013729
"38","QMIC2418","2018-01-31","macro",0,0
"39","QMIC2418","2018-01-31","ochro",0,0
"40","QMIC2418","2018-01-31","unk",0,0
"41","QMIC2428","2018-02-06","crypto",9340,0.434640979105589
"42","QMIC2428","2018-02-06","green",8729,0.406207827260459
"43","QMIC2428","2018-02-06","hapto",1417,0.0659407138535995
"44","QMIC2428","2018-02-06","cyan",761,0.0354134673553911
"45","QMIC2428","2018-02-06","dict",640,0.0297826795104472
"46","QMIC2428","2018-02-06","diat",559,0.0260133091349062
"47","QMIC2428","2018-02-06","ochro",25,0.00116338591837684
"48","QMIC2428","2018-02-06","raph",18,0.000837637861231328
"49","QMIC2428","2018-02-06","macro",0,0
"50","QMIC2428","2018-02-06","unk",0,0
"51","QMIC2456","2018-02-13","green",8693,0.41717055379595
"52","QMIC2456","2018-02-13","crypto",6333,0.303915922833285
"53","QMIC2456","2018-02-13","hapto",2310,0.110855168442269
"54","QMIC2456","2018-02-13","cyan",1570,0.0753431231404166
"55","QMIC2456","2018-02-13","diat",1242,0.0596026490066225
"56","QMIC2456","2018-02-13","dict",606,0.0290814857471926
"57","QMIC2456","2018-02-13","ochro",59,0.00283136577406661
"58","QMIC2456","2018-02-13","raph",25,0.00119973126019772
"59","QMIC2456","2018-02-13","macro",0,0
"60","QMIC2456","2018-02-13","unk",0,0
"61","QMIC2466","2018-02-19","crypto",6355,0.385174859082369
"62","QMIC2466","2018-02-19","green",5763,0.349293896599794
"63","QMIC2466","2018-02-19","cyan",1600,0.0969755742772289
"64","QMIC2466","2018-02-19","diat",1320,0.0800048487787139
"65","QMIC2466","2018-02-19","hapto",882,0.0534577853203224
"66","QMIC2466","2018-02-19","dict",558,0.0338202315291836
"67","QMIC2466","2018-02-19","ochro",21,0.00127280441238863
"68","QMIC2466","2018-02-19","macro",0,0
"69","QMIC2466","2018-02-19","raph",0,0
"70","QMIC2466","2018-02-19","unk",0,0
"71","QMIC2476","2018-02-27","green",4655,0.371775417298938
"72","QMIC2476","2018-02-27","hapto",2684,0.214359875409312
"73","QMIC2476","2018-02-27","crypto",2550,0.203657854803929
"74","QMIC2476","2018-02-27","dict",1096,0.087532944652983
"75","QMIC2476","2018-02-27","diat",864,0.0690040731570961
"76","QMIC2476","2018-02-27","cyan",648,0.0517530548678221
"77","QMIC2476","2018-02-27","ochro",24,0.00191677980991934
"78","QMIC2476","2018-02-27","macro",0,0
"79","QMIC2476","2018-02-27","raph",0,0
"80","QMIC2476","2018-02-27","unk",0,0
"81","QMIC2486","2018-03-06","hapto",3606,0.379219686612683
"82","QMIC2486","2018-03-06","crypto",2136,0.22462929855926
"83","QMIC2486","2018-03-06","green",1979,0.208118624461037
"84","QMIC2486","2018-03-06","dict",902,0.0948575034178147
"85","QMIC2486","2018-03-06","diat",652,0.068566621095804
"86","QMIC2486","2018-03-06","cyan",234,0.024608265853402
"87","QMIC2486","2018-03-06","macro",0,0
"88","QMIC2486","2018-03-06","raph",0,0
"89","QMIC2486","2018-03-06","ochro",0,0
"90","QMIC2486","2018-03-06","unk",0,0
"91","QMIC2496","2018-03-13","hapto",3686,0.37716156758416
"92","QMIC2496","2018-03-13","green",2841,0.290698864217743
"93","QMIC2496","2018-03-13","crypto",1413,0.144582011664791
"94","QMIC2496","2018-03-13","dict",1035,0.105904021283127
"95","QMIC2496","2018-03-13","diat",706,0.0722398444694567
"96","QMIC2496","2018-03-13","cyan",90,0.00920904532896756
"97","QMIC2496","2018-03-13","ochro",2,0.000204645451754835
"98","QMIC2496","2018-03-13","macro",0,0
"99","QMIC2496","2018-03-13","raph",0,0
"100","QMIC2496","2018-03-13","unk",0,0
"101","QMIC2506","2018-03-20","diat",12581,0.9040672607071
"102","QMIC2506","2018-03-20","crypto",472,0.0339177924691003
"103","QMIC2506","2018-03-20","hapto",421,0.0302529462489221
"104","QMIC2506","2018-03-20","green",170,0.0122161540672607
"105","QMIC2506","2018-03-20","dict",150,0.0107789594711124
"106","QMIC2506","2018-03-20","cyan",122,0.00876688703650474
"107","QMIC2506","2018-03-20","macro",0,0
"108","QMIC2506","2018-03-20","raph",0,0
"109","QMIC2506","2018-03-20","ochro",0,0
"110","QMIC2506","2018-03-20","unk",0,0
"111","QMIC2516","2018-03-27","diat",11533,0.955667882001989
"112","QMIC2516","2018-03-27","crypto",248,0.0205502154458071
"113","QMIC2516","2018-03-27","hapto",223,0.0184786211468346
"114","QMIC2516","2018-03-27","dict",64,0.00530328140536957
"115","QMIC2516","2018-03-27","macro",0,0
"116","QMIC2516","2018-03-27","raph",0,0
"117","QMIC2516","2018-03-27","green",0,0
"118","QMIC2516","2018-03-27","ochro",0,0
"119","QMIC2516","2018-03-27","cyan",0,0
"120","QMIC2516","2018-03-27","unk",0,0
"121","QMIC2526","2018-04-12","diat",10068,0.968170016347726
"122","QMIC2526","2018-04-12","hapto",139,0.0133666698721031
"123","QMIC2526","2018-04-12","dict",134,0.0128858544090778
"124","QMIC2526","2018-04-12","crypto",58,0.00557745937109337
"125","QMIC2526","2018-04-12","macro",0,0
"126","QMIC2526","2018-04-12","raph",0,0
"127","QMIC2526","2018-04-12","green",0,0
"128","QMIC2526","2018-04-12","ochro",0,0
"129","QMIC2526","2018-04-12","cyan",0,0
"130","QMIC2526","2018-04-12","unk",0,0
"131","QMIC2533","2018-04-17","diat",4539,0.67554695639232
"132","QMIC2533","2018-04-17","hapto",1206,0.179490995683882
"133","QMIC2533","2018-04-17","dict",737,0.109688941806816
"134","QMIC2533","2018-04-17","crypto",229,0.0340824527459443
"135","QMIC2533","2018-04-17","green",8,0.00119065337103736
"136","QMIC2533","2018-04-17","macro",0,0
"137","QMIC2533","2018-04-17","raph",0,0
"138","QMIC2533","2018-04-17","ochro",0,0
"139","QMIC2533","2018-04-17","cyan",0,0
"140","QMIC2533","2018-04-17","unk",0,0
"141","QMIC2543","2018-04-24","dict",9860,0.846788045345242
"142","QMIC2543","2018-04-24","hapto",1109,0.0952421848162144
"143","QMIC2543","2018-04-24","diat",375,0.0322054276880797
"144","QMIC2543","2018-04-24","crypto",178,0.0152868430092752
"145","QMIC2543","2018-04-24","green",122,0.0104774991411886
"146","QMIC2543","2018-04-24","macro",0,0
"147","QMIC2543","2018-04-24","raph",0,0
"148","QMIC2543","2018-04-24","ochro",0,0
"149","QMIC2543","2018-04-24","cyan",0,0
"150","QMIC2543","2018-04-24","unk",0,0
"151","QMIC2553","2018-05-02","green",980,0.349376114081996
"152","QMIC2553","2018-05-02","crypto",656,0.233868092691622
"153","QMIC2553","2018-05-02","dict",523,0.186452762923351
"154","QMIC2553","2018-05-02","diat",412,0.146880570409982
"155","QMIC2553","2018-05-02","hapto",217,0.0773618538324421
"156","QMIC2553","2018-05-02","cyan",17,0.00606060606060606
"157","QMIC2553","2018-05-02","macro",0,0
"158","QMIC2553","2018-05-02","raph",0,0
"159","QMIC2553","2018-05-02","ochro",0,0
"160","QMIC2553","2018-05-02","unk",0,0
"161","QMIC2563","2018-05-08","diat",1555,0.646300914380715
"162","QMIC2563","2018-05-08","hapto",578,0.240232751454697
"163","QMIC2563","2018-05-08","crypto",91,0.0378221113881962
"164","QMIC2563","2018-05-08","dict",91,0.0378221113881962
"165","QMIC2563","2018-05-08","green",49,0.0203657522859518
"166","QMIC2563","2018-05-08","unk",21,0.00872817955112219
"167","QMIC2563","2018-05-08","ochro",13,0.00540315876974231
"168","QMIC2563","2018-05-08","cyan",8,0.00332502078137988
"169","QMIC2563","2018-05-08","macro",0,0
"170","QMIC2563","2018-05-08","raph",0,0
"171","QMIC2583","2018-05-15","diat",5032,0.318521331814154
"172","QMIC2583","2018-05-15","green",4215,0.266805924800608
"173","QMIC2583","2018-05-15","hapto",3318,0.210026585643752
"174","QMIC2583","2018-05-15","crypto",2551,0.161476136219775
"175","QMIC2583","2018-05-15","dict",463,0.0293075072794025
"176","QMIC2583","2018-05-15","cyan",206,0.0130396252690214
"177","QMIC2583","2018-05-15","unk",9,0.000569692366122294
"178","QMIC2583","2018-05-15","ochro",4,0.000253196607165464
"179","QMIC2583","2018-05-15","macro",0,0
"180","QMIC2583","2018-05-15","raph",0,0
"181","QMIC2593","2018-05-22","diat",5465,0.648587704723475
"182","QMIC2593","2018-05-22","hapto",1039,0.12330880607643
"183","QMIC2593","2018-05-22","crypto",956,0.113458343223356
"184","QMIC2593","2018-05-22","green",738,0.0875860431996202
"185","QMIC2593","2018-05-22","dict",111,0.0131735105625445
"186","QMIC2593","2018-05-22","macro",104,0.0123427486351768
"187","QMIC2593","2018-05-22","cyan",13,0.0015428435793971
"188","QMIC2593","2018-05-22","raph",0,0
"189","QMIC2593","2018-05-22","ochro",0,0
"190","QMIC2593","2018-05-22","unk",0,0
"191","QMIC2603","2018-05-29","green",4113,0.30367690490254
"192","QMIC2603","2018-05-29","crypto",2965,0.2189161252215
"193","QMIC2603","2018-05-29","cyan",2507,0.185100413467218
"194","QMIC2603","2018-05-29","diat",2505,0.184952746603662
"195","QMIC2603","2018-05-29","hapto",1075,0.0793709391612522
"196","QMIC2603","2018-05-29","dict",356,0.0262847017129356
"197","QMIC2603","2018-05-29","macro",23,0.00169816893089191
"198","QMIC2603","2018-05-29","raph",0,0
"199","QMIC2603","2018-05-29","ochro",0,0
"200","QMIC2603","2018-05-29","unk",0,0
"201","QMIC2609","2018-06-05","green",331,0.441922563417891
"202","QMIC2609","2018-06-05","hapto",135,0.180240320427236
"203","QMIC2609","2018-06-05","macro",129,0.172229639519359
"204","QMIC2609","2018-06-05","crypto",95,0.126835781041389
"205","QMIC2609","2018-06-05","dict",22,0.0293724966622163
"206","QMIC2609","2018-06-05","diat",21,0.0280373831775701
"207","QMIC2609","2018-06-05","cyan",16,0.0213618157543391
"208","QMIC2609","2018-06-05","raph",0,0
"209","QMIC2609","2018-06-05","ochro",0,0
"210","QMIC2609","2018-06-05","unk",0,0
"211","QMIC2619","2018-06-11","green",6050,0.515112813963389
"212","QMIC2619","2018-06-11","crypto",1884,0.160408684546616
"213","QMIC2619","2018-06-11","macro",1273,0.108386547467007
"214","QMIC2619","2018-06-11","hapto",877,0.0746700723712218
"215","QMIC2619","2018-06-11","cyan",712,0.0606215410813112
"216","QMIC2619","2018-06-11","dict",583,0.0496381438910175
"217","QMIC2619","2018-06-11","diat",365,0.0310770540655598
"218","QMIC2619","2018-06-11","ochro",1,8.51426138782461e-05
"219","QMIC2619","2018-06-11","raph",0,0
"220","QMIC2619","2018-06-11","unk",0,0
"221","QMIC2639","2018-06-18","green",13518,0.744629282802688
"222","QMIC2639","2018-06-18","crypto",2018,0.111160074914619
"223","QMIC2639","2018-06-18","diat",1190,0.0655502919466784
"224","QMIC2639","2018-06-18","cyan",785,0.043241158973229
"225","QMIC2639","2018-06-18","hapto",308,0.0169659579156109
"226","QMIC2639","2018-06-18","macro",185,0.0101905916051559
"227","QMIC2639","2018-06-18","dict",150,0.00826264184201829
"228","QMIC2639","2018-06-18","raph",0,0
"229","QMIC2639","2018-06-18","ochro",0,0
"230","QMIC2639","2018-06-18","unk",0,0
"231","QMIC2649","2018-06-26","green",3302,0.657376070077643
"232","QMIC2649","2018-06-26","cyan",643,0.128011148715907
"233","QMIC2649","2018-06-26","crypto",551,0.109695401154688
"234","QMIC2649","2018-06-26","dict",410,0.081624527174995
"235","QMIC2649","2018-06-26","diat",91,0.0181166633485965
"236","QMIC2649","2018-06-26","hapto",26,0.00517618952817042
"237","QMIC2649","2018-06-26","macro",0,0
"238","QMIC2649","2018-06-26","raph",0,0
"239","QMIC2649","2018-06-26","ochro",0,0
"240","QMIC2649","2018-06-26","unk",0,0
"241","QMIC2659","2018-07-11","green",5924,0.427663875252671
"242","QMIC2659","2018-07-11","cyan",5309,0.38326595437482
"243","QMIC2659","2018-07-11","dict",1034,0.0746462604678025
"244","QMIC2659","2018-07-11","hapto",740,0.0534218885359515
"245","QMIC2659","2018-07-11","crypto",522,0.0376840889402252
"246","QMIC2659","2018-07-11","diat",231,0.0166762922321686
"247","QMIC2659","2018-07-11","ochro",67,0.00483684666474155
"248","QMIC2659","2018-07-11","raph",18,0.00129945134276639
"249","QMIC2659","2018-07-11","macro",7,0.000505342188853595
"250","QMIC2659","2018-07-11","unk",0,0
"251","QMIC2664","2018-07-16","green",5920,0.444644734865555
"252","QMIC2664","2018-07-16","cyan",2204,0.165540033047919
"253","QMIC2664","2018-07-16","crypto",1965,0.147589004055881
"254","QMIC2664","2018-07-16","dict",1358,0.101997896950578
"255","QMIC2664","2018-07-16","hapto",1249,0.0938110259876821
"256","QMIC2664","2018-07-16","diat",421,0.0316208502328376
"257","QMIC2664","2018-07-16","macro",197,0.0147964548595463
"258","QMIC2664","2018-07-16","raph",0,0
"259","QMIC2664","2018-07-16","ochro",0,0
"260","QMIC2664","2018-07-16","unk",0,0
"261","QMIC2674","2018-07-23","green",2673,0.623803967327888
"262","QMIC2674","2018-07-23","cyan",581,0.13558926487748
"263","QMIC2674","2018-07-23","crypto",450,0.105017502917153
"264","QMIC2674","2018-07-23","hapto",284,0.0662777129521587
"265","QMIC2674","2018-07-23","dict",162,0.037806301050175
"266","QMIC2674","2018-07-23","diat",129,0.0301050175029172
"267","QMIC2674","2018-07-23","macro",6,0.0014002333722287
"268","QMIC2674","2018-07-23","raph",0,0
"269","QMIC2674","2018-07-23","ochro",0,0
"270","QMIC2674","2018-07-23","unk",0,0
"271","QMIC2694","2018-07-31","diat",4189,0.626345693779904
"272","QMIC2694","2018-07-31","hapto",1905,0.284838516746411
"273","QMIC2694","2018-07-31","crypto",327,0.0488935406698565
"274","QMIC2694","2018-07-31","green",128,0.0191387559808612
"275","QMIC2694","2018-07-31","cyan",56,0.00837320574162679
"276","QMIC2694","2018-07-31","dict",32,0.00478468899521531
"277","QMIC2694","2018-07-31","ochro",29,0.00433612440191388
"278","QMIC2694","2018-07-31","macro",22,0.00328947368421053
"279","QMIC2694","2018-07-31","raph",0,0
"280","QMIC2694","2018-07-31","unk",0,0
"281","QMIC2704","2018-08-09","green",7542,0.649109217660728
"282","QMIC2704","2018-08-09","cyan",1359,0.116963594113091
"283","QMIC2704","2018-08-09","diat",988,0.0850331353817024
"284","QMIC2704","2018-08-09","hapto",757,0.065151906360272
"285","QMIC2704","2018-08-09","crypto",756,0.0650658404337723
"286","QMIC2704","2018-08-09","dict",125,0.0107582408124623
"287","QMIC2704","2018-08-09","macro",62,0.00533608744298132
"288","QMIC2704","2018-08-09","raph",18,0.00154918667699458
"289","QMIC2704","2018-08-09","ochro",12,0.00103279111799639
"290","QMIC2704","2018-08-09","unk",0,0
"291","QMIC2724","2018-08-14","green",11292,0.636455867433209
"292","QMIC2724","2018-08-14","cyan",2856,0.160973960094691
"293","QMIC2724","2018-08-14","crypto",2550,0.143726750084545
"294","QMIC2724","2018-08-14","hapto",314,0.017698117461391
"295","QMIC2724","2018-08-14","dict",279,0.0157253973621914
"296","QMIC2724","2018-08-14","macro",202,0.0113854131439522
"297","QMIC2724","2018-08-14","diat",153,0.00862360500507271
"298","QMIC2724","2018-08-14","ochro",86,0.00484725510089054
"299","QMIC2724","2018-08-14","raph",10,0.00056363431405704
"300","QMIC2724","2018-08-14","unk",0,0
"301","QMIC2734","2018-08-21","green",4265,0.634672619047619
"302","QMIC2734","2018-08-21","crypto",1363,0.202827380952381
"303","QMIC2734","2018-08-21","cyan",713,0.10610119047619
"304","QMIC2734","2018-08-21","hapto",160,0.0238095238095238
"305","QMIC2734","2018-08-21","dict",116,0.0172619047619048
"306","QMIC2734","2018-08-21","diat",99,0.0147321428571429
"307","QMIC2734","2018-08-21","macro",4,0.000595238095238095
"308","QMIC2734","2018-08-21","raph",0,0
"309","QMIC2734","2018-08-21","ochro",0,0
"310","QMIC2734","2018-08-21","unk",0,0
"311","QMIC2744","2018-08-29","diat",12135,0.634775330857352
"312","QMIC2744","2018-08-29","macro",2155,0.112726892294816
"313","QMIC2744","2018-08-29","green",1956,0.102317309201234
"314","QMIC2744","2018-08-29","crypto",1074,0.0561803630276717
"315","QMIC2744","2018-08-29","hapto",1023,0.053512580425799
"316","QMIC2744","2018-08-29","dict",470,0.0245854475074541
"317","QMIC2744","2018-08-29","cyan",252,0.0131819846210179
"318","QMIC2744","2018-08-29","ochro",52,0.0027200920646545
"319","QMIC2744","2018-08-29","raph",0,0
"320","QMIC2744","2018-08-29","unk",0,0
"321","QMIC2763","2018-09-04","diat",7967,0.909994288977727
"322","QMIC2763","2018-09-04","hapto",522,0.0596230725299829
"323","QMIC2763","2018-09-04","macro",63,0.00719588806396345
"324","QMIC2763","2018-09-04","ochro",54,0.00616790405482581
"325","QMIC2763","2018-09-04","cyan",44,0.00502569960022844
"326","QMIC2763","2018-09-04","dict",43,0.0049114791547687
"327","QMIC2763","2018-09-04","green",33,0.00376927470017133
"328","QMIC2763","2018-09-04","crypto",29,0.00331239291833238
"329","QMIC2763","2018-09-04","raph",0,0
"330","QMIC2763","2018-09-04","unk",0,0
"331","QMIC2783","2018-09-13","green",6215,0.440999077556234
"332","QMIC2783","2018-09-13","crypto",3293,0.233662101752643
"333","QMIC2783","2018-09-13","cyan",1487,0.105513375434613
"334","QMIC2783","2018-09-13","dict",1218,0.0864258851912297
"335","QMIC2783","2018-09-13","diat",1102,0.0781948485063507
"336","QMIC2783","2018-09-13","hapto",768,0.0544951394309232
"337","QMIC2783","2018-09-13","macro",10,0.000709572128006812
"338","QMIC2783","2018-09-13","raph",0,0
"339","QMIC2783","2018-09-13","ochro",0,0
"340","QMIC2783","2018-09-13","unk",0,0
"341","QMIC2793","2018-09-18","dict",4034,0.291431874006646
"342","QMIC2793","2018-09-18","green",3743,0.270408900447912
"343","QMIC2793","2018-09-18","crypto",3624,0.261811876896402
"344","QMIC2793","2018-09-18","hapto",959,0.0692818956798151
"345","QMIC2793","2018-09-18","cyan",765,0.0552665799739922
"346","QMIC2793","2018-09-18","diat",704,0.050859702355151
"347","QMIC2793","2018-09-18","raph",13,0.000939170640080913
"348","QMIC2793","2018-09-18","macro",0,0
"349","QMIC2793","2018-09-18","ochro",0,0
"350","QMIC2793","2018-09-18","unk",0,0
"351","QMIC2803","2018-09-25","diat",3819,0.63788207783531
"352","QMIC2803","2018-09-25","cyan",821,0.137130449306831
"353","QMIC2803","2018-09-25","green",613,0.102388508434942
"354","QMIC2803","2018-09-25","hapto",300,0.0501085685652247
"355","QMIC2803","2018-09-25","crypto",238,0.0397527977284116
"356","QMIC2803","2018-09-25","dict",171,0.0285618840821781
"357","QMIC2803","2018-09-25","macro",25,0.00417571404710205
"358","QMIC2803","2018-09-25","raph",0,0
"359","QMIC2803","2018-09-25","ochro",0,0
"360","QMIC2803","2018-09-25","unk",0,0
"361","QMIC2813","2018-10-04","diat",5796,0.943973941368078
"362","QMIC2813","2018-10-04","hapto",119,0.0193811074918567
"363","QMIC2813","2018-10-04","crypto",101,0.0164495114006515
"364","QMIC2813","2018-10-04","dict",64,0.0104234527687296
"365","QMIC2813","2018-10-04","ochro",24,0.00390879478827362
"366","QMIC2813","2018-10-04","cyan",20,0.00325732899022801
"367","QMIC2813","2018-10-04","green",16,0.00260586319218241
"368","QMIC2813","2018-10-04","macro",0,0
"369","QMIC2813","2018-10-04","raph",0,0
"370","QMIC2813","2018-10-04","unk",0,0
"371","QMIC2823","2018-10-09","green",1805,0.29349593495935
"372","QMIC2823","2018-10-09","crypto",1265,0.205691056910569
"373","QMIC2823","2018-10-09","hapto",1082,0.175934959349593
"374","QMIC2823","2018-10-09","diat",864,0.140487804878049
"375","QMIC2823","2018-10-09","cyan",708,0.115121951219512
"376","QMIC2823","2018-10-09","dict",426,0.0692682926829268
"377","QMIC2823","2018-10-09","macro",0,0
"378","QMIC2823","2018-10-09","raph",0,0
"379","QMIC2823","2018-10-09","ochro",0,0
"380","QMIC2823","2018-10-09","unk",0,0
"381","QMIC2843","2018-10-16","diat",16167,0.817340748230536
"382","QMIC2843","2018-10-16","hapto",1193,0.0603134479271992
"383","QMIC2843","2018-10-16","green",1158,0.0585439838220425
"384","QMIC2843","2018-10-16","crypto",667,0.0337209302325581
"385","QMIC2843","2018-10-16","dict",397,0.0200707785642063
"386","QMIC2843","2018-10-16","cyan",190,0.0096056622851365
"387","QMIC2843","2018-10-16","macro",8,0.000404448938321537
"388","QMIC2843","2018-10-16","raph",0,0
"389","QMIC2843","2018-10-16","ochro",0,0
"390","QMIC2843","2018-10-16","unk",0,0
"391","QMIC2853","2018-10-24","diat",5324,0.659563924677899
"392","QMIC2853","2018-10-24","hapto",795,0.0984886025768087
"393","QMIC2853","2018-10-24","green",652,0.0807730426164519
"394","QMIC2853","2018-10-24","cyan",517,0.0640485629335976
"395","QMIC2853","2018-10-24","crypto",383,0.0474479682854311
"396","QMIC2853","2018-10-24","dict",381,0.0472001982160555
"397","QMIC2853","2018-10-24","ochro",20,0.00247770069375619
"398","QMIC2853","2018-10-24","macro",0,0
"399","QMIC2853","2018-10-24","raph",0,0
"400","QMIC2853","2018-10-24","unk",0,0
"401","QMIC2863","2018-10-30","diat",1975,0.500380035469977
"402","QMIC2863","2018-10-30","crypto",729,0.184697238408918
"403","QMIC2863","2018-10-30","cyan",464,0.117557638712947
"404","QMIC2863","2018-10-30","green",347,0.0879148720547251
"405","QMIC2863","2018-10-30","hapto",275,0.0696731694958196
"406","QMIC2863","2018-10-30","dict",148,0.0374968330377502
"407","QMIC2863","2018-10-30","ochro",9,0.00228021281986319
"408","QMIC2863","2018-10-30","macro",0,0
"409","QMIC2863","2018-10-30","raph",0,0
"410","QMIC2863","2018-10-30","unk",0,0
"411","QMIC2883","2018-11-07","crypto",1172,0.290602529134639
"412","QMIC2883","2018-11-07","green",1121,0.277956855938507
"413","QMIC2883","2018-11-07","hapto",854,0.211753037441111
"414","QMIC2883","2018-11-07","dict",387,0.0959583436647657
"415","QMIC2883","2018-11-07","diat",293,0.0726506322836598
"416","QMIC2883","2018-11-07","cyan",206,0.0510786015373171
"417","QMIC2883","2018-11-07","macro",0,0
"418","QMIC2883","2018-11-07","raph",0,0
"419","QMIC2883","2018-11-07","ochro",0,0
"420","QMIC2883","2018-11-07","unk",0,0
"421","QMIC2893","2018-11-16","green",6373,0.460443609565783
"422","QMIC2893","2018-11-16","crypto",3614,0.261108301423308
"423","QMIC2893","2018-11-16","hapto",1620,0.117043566216314
"424","QMIC2893","2018-11-16","dict",845,0.0610505021313489
"425","QMIC2893","2018-11-16","diat",741,0.0535365941767213
"426","QMIC2893","2018-11-16","cyan",630,0.0455169424174554
"427","QMIC2893","2018-11-16","ochro",10,0.000722491149483419
"428","QMIC2893","2018-11-16","macro",8,0.000577992919586735
"429","QMIC2893","2018-11-16","raph",0,0
"430","QMIC2893","2018-11-16","unk",0,0
"431","QMIC2903","2018-11-19","green",8099,0.387382216482518
"432","QMIC2903","2018-11-19","crypto",7768,0.371550198498111
"433","QMIC2903","2018-11-19","hapto",1641,0.0784904577414263
"434","QMIC2903","2018-11-19","cyan",1449,0.0693069306930693
"435","QMIC2903","2018-11-19","diat",1078,0.0515616779069211
"436","QMIC2903","2018-11-19","dict",866,0.0414215334576936
"437","QMIC2903","2018-11-19","raph",6,0.000286985220261157
"438","QMIC2903","2018-11-19","macro",0,0
"439","QMIC2903","2018-11-19","ochro",0,0
"440","QMIC2903","2018-11-19","unk",0,0
"441","QMIC2913","2018-11-28","crypto",2134,0.335745752045312
"442","QMIC2913","2018-11-28","green",1637,0.257551919446193
"443","QMIC2913","2018-11-28","diat",786,0.123662680931403
"444","QMIC2913","2018-11-28","cyan",765,0.120358716173694
"445","QMIC2913","2018-11-28","hapto",617,0.0970736312146004
"446","QMIC2913","2018-11-28","dict",408,0.0641913152926369
"447","QMIC2913","2018-11-28","macro",9,0.00141598489616111
"448","QMIC2913","2018-11-28","raph",0,0
"449","QMIC2913","2018-11-28","ochro",0,0
"450","QMIC2913","2018-11-28","unk",0,0
"451","QMIC2923","2018-12-04","green",7720,0.417839359168651
"452","QMIC2923","2018-12-04","hapto",3902,0.211192898895865
"453","QMIC2923","2018-12-04","crypto",3128,0.169300714440355
"454","QMIC2923","2018-12-04","dict",1549,0.0838384931803421
"455","QMIC2923","2018-12-04","diat",1359,0.0735548820090929
"456","QMIC2923","2018-12-04","cyan",791,0.04281229703399
"457","QMIC2923","2018-12-04","macro",27,0.00146135527170383
"458","QMIC2923","2018-12-04","raph",0,0
"459","QMIC2923","2018-12-04","ochro",0,0
"460","QMIC2923","2018-12-04","unk",0,0
